"module name","license","repository"
"@aashutoshrathi/word-wrap@1.2.6","MIT","https://github.com/aashutoshrathi/word-wrap"
"@ampproject/remapping@2.2.1","Apache-2.0","https://github.com/ampproject/remapping"
"@babel/code-frame@7.23.5","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.23.5","MIT","https://github.com/babel/babel"
"@babel/core@7.23.9","MIT","https://github.com/babel/babel"
"@babel/generator@7.23.6","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.23.6","MIT","https://github.com/babel/babel"
"@babel/helper-environment-visitor@7.22.20","MIT","https://github.com/babel/babel"
"@babel/helper-function-name@7.23.0","MIT","https://github.com/babel/babel"
"@babel/helper-hoist-variables@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.22.15","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.23.3","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-simple-access@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.22.6","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.23.4","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.22.20","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.23.5","MIT","https://github.com/babel/babel"
"@babel/helpers@7.23.9","MIT","https://github.com/babel/babel"
"@babel/highlight@7.23.4","MIT","https://github.com/babel/babel"
"@babel/parser@7.23.9","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-async-generators@7.8.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators"
"@babel/plugin-syntax-bigint@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-bigint"
"@babel/plugin-syntax-class-properties@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-meta@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-json-strings@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings"
"@babel/plugin-syntax-jsx@7.23.3","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-logical-assignment-operators@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-nullish-coalescing-operator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator"
"@babel/plugin-syntax-numeric-separator@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-object-rest-spread@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread"
"@babel/plugin-syntax-optional-catch-binding@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-catch-binding"
"@babel/plugin-syntax-optional-chaining@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining"
"@babel/plugin-syntax-top-level-await@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-typescript@7.23.3","MIT","https://github.com/babel/babel"
"@babel/template@7.23.9","MIT","https://github.com/babel/babel"
"@babel/traverse@7.23.9","MIT","https://github.com/babel/babel"
"@babel/types@7.23.9","MIT","https://github.com/babel/babel"
"@bcoe/v8-coverage@0.2.3","MIT","https://github.com/demurgos/v8-coverage"
"@cspotcode/source-map-support@0.8.1","MIT","https://github.com/cspotcode/node-source-map-support"
"@eslint-community/eslint-utils@4.4.0","MIT","https://github.com/eslint-community/eslint-utils"
"@eslint-community/regexpp@4.10.0","MIT","https://github.com/eslint-community/regexpp"
"@eslint/eslintrc@2.1.4","MIT","https://github.com/eslint/eslintrc"
"@eslint/js@8.56.0","MIT","https://github.com/eslint/eslint"
"@faker-js/faker@8.4.1","MIT","https://github.com/faker-js/faker"
"@humanwhocodes/config-array@0.11.14","Apache-2.0","https://github.com/humanwhocodes/config-array"
"@humanwhocodes/module-importer@1.0.1","Apache-2.0","https://github.com/humanwhocodes/module-importer"
"@humanwhocodes/object-schema@2.0.2","BSD-3-Clause","https://github.com/humanwhocodes/object-schema"
"@isaacs/cliui@8.0.2","ISC","https://github.com/yargs/cliui"
"@istanbuljs/load-nyc-config@1.1.0","ISC","https://github.com/istanbuljs/load-nyc-config"
"@istanbuljs/schema@0.1.3","MIT","https://github.com/istanbuljs/schema"
"@jest/console@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/core@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/environment@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/expect-utils@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/expect@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/fake-timers@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/globals@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/reporters@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/schemas@29.6.3","MIT","https://github.com/jestjs/jest"
"@jest/source-map@29.6.3","MIT","https://github.com/jestjs/jest"
"@jest/test-result@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/test-sequencer@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/transform@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/types@29.6.3","MIT","https://github.com/jestjs/jest"
"@jridgewell/gen-mapping@0.3.3","MIT","https://github.com/jridgewell/gen-mapping"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/set-array@1.1.2","MIT","https://github.com/jridgewell/set-array"
"@jridgewell/source-map@0.3.5","MIT","https://github.com/jridgewell/source-map"
"@jridgewell/sourcemap-codec@1.4.15","MIT","https://github.com/jridgewell/sourcemap-codec"
"@jridgewell/trace-mapping@0.3.22","MIT","https://github.com/jridgewell/trace-mapping"
"@jridgewell/trace-mapping@0.3.9","MIT","https://github.com/jridgewell/trace-mapping"
"@next/env@14.1.0","MIT","https://github.com/vercel/next.js"
"@next/swc-darwin-arm64@14.1.0","MIT","https://github.com/vercel/next.js"
"@nodelib/fs.scandir@2.1.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
"@nodelib/fs.stat@2.0.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.walk@1.2.8","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@pkgjs/parseargs@0.11.0","MIT","https://github.com/pkgjs/parseargs"
"@pkgr/core@0.1.1","MIT","https://github.com/un-ts/pkgr"
"@sinclair/typebox@0.27.8","MIT","https://github.com/sinclairzx81/typebox"
"@sinonjs/commons@3.0.1","BSD-3-Clause","https://github.com/sinonjs/commons"
"@sinonjs/fake-timers@10.3.0","BSD-3-Clause","https://github.com/sinonjs/fake-timers"
"@swc/helpers@0.5.2","Apache-2.0","https://github.com/swc-project/swc"
"@tsconfig/node10@1.0.9","MIT","https://github.com/tsconfig/bases"
"@tsconfig/node12@1.0.11","MIT","https://github.com/tsconfig/bases"
"@tsconfig/node14@1.0.3","MIT","https://github.com/tsconfig/bases"
"@tsconfig/node16@1.0.4","MIT","https://github.com/tsconfig/bases"
"@tsoa/cli@5.1.1","MIT","https://github.com/lukeautry/tsoa"
"@tsoa/runtime@5.0.0","MIT","https://github.com/lukeautry/tsoa"
"@types/babel__core@7.20.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__generator@7.6.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__template@7.4.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__traverse@7.20.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/body-parser@1.19.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/connect@3.4.38","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/convict@6.1.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/eslint-scope@3.7.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/eslint@8.56.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/estree@1.0.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/express-serve-static-core@4.17.43","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/express@4.17.21","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/graceful-fs@4.1.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/http-errors@2.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-lib-coverage@2.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-lib-report@3.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-reports@3.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/jest@29.5.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json-schema@7.0.15","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/mime@1.3.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/multer@1.4.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@20.11.17","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/qs@6.9.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/range-parser@1.2.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@18.2.60","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/scheduler@0.16.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/semver@7.5.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/send@0.17.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/serve-static@1.15.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/stack-utils@2.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/yargs-parser@21.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/yargs@17.0.32","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@typescript-eslint/eslint-plugin@6.21.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/parser@6.21.0","BSD-2-Clause","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/scope-manager@6.21.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/type-utils@6.21.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/types@6.21.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/typescript-estree@6.21.0","BSD-2-Clause","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/utils@6.21.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/visitor-keys@6.21.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@ungap/structured-clone@1.2.0","ISC","https://github.com/ungap/structured-clone"
"@webassemblyjs/ast@1.11.6","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/floating-point-hex-parser@1.11.6","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-api-error@1.11.6","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-buffer@1.11.6","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-numbers@1.11.6","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-wasm-bytecode@1.11.6","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-wasm-section@1.11.6","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/ieee754@1.11.6","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/leb128@1.11.6","Apache-2.0","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/utf8@1.11.6","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-edit@1.11.6","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-gen@1.11.6","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-opt@1.11.6","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-parser@1.11.6","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wast-printer@1.11.6","MIT","https://github.com/xtuc/webassemblyjs"
"@xtuc/ieee754@1.2.0","BSD-3-Clause","https://github.com/feross/ieee754"
